Date,Product,Quantity,Price
2025-07-08,Tomatoes Fresh,597.8,18.31
2024-03-15,Cheese Cheddar,146.8,133.43
2024-07-12,Wheat Organic,1282.8,66.0
2025-10-27,Strawberries,65.0,104.472
2024-12-20,Eggs Organic,290.8,70.104
2025-03-27,Yogurt Greek,249.2,138.32
2023-08-02,Milk Fresh,421.8,39.98
2023-07-19,Cheese Cheddar,339.0,137.856
2025-06-17,Rice Basmati,747.3,32.35
2024-08-18,Cabbage,375.2,45.42
2023-06-14,Potatoes,731.3,26.64
2023-01-11,Cauliflower,591.1,20.028
2025-12-01,Bananas,238.9,61.72
2023-02-25,Eggs Organic,132.5,149.16
2023-01-02,Mangoes,286.6,63.09
2025-12-08,Oats,695.1,32.26
2025-06-23,Rice Premium,1845.4,34.45
2024-11-10,Barley,1019.2,46.55
2023-08-08,Rice Premium,596.7,46.08
2024-01-22,Cheese Mozzarella,71.5,93.36
2023-01-28,Blueberries,124.6,86.34
2023-06-04,Wheat Durum,1004.6,45.52
2025-06-25,Grapes Red,390.5,105.78
2025-03-12,Spinach,226.0,25.56
2025-09-28,Bananas,202.0,59.89
2024-03-21,Blueberries,397.5,41.68
2025-11-02,Eggs Organic,423.0,95.424
2024-02-22,Cucumbers,364.5,38.95
2025-03-12,Spinach,406.7,18.02
2024-06-12,Broccoli,480.3,26.34
2024-04-30,Corn Yellow,736.8,49.44
2023-03-16,Lettuce,586.7,29.29
2025-04-13,Eggs,431.1,104.328
2025-08-14,Lettuce,489.3,32.66
2024-06-20,Cheese Feta,157.5,121.78
2024-07-03,Blueberries,108.2,94.37
2023-12-07,Peppers Bell,184.3,39.23
2024-09-30,Peppers Bell,312.6,21.87
2024-01-30,Eggs,497.7,86.47
2025-03-07,Peaches,122.6,46.69
2025-04-18,Cheese Cheddar,125.8,27.96
2025-02-14,Rice Basmati,1555.7,51.02
2025-12-15,Yogurt Plain,137.1,113.26
2025-11-21,Raspberries,268.2,86.44800000000001
2024-08-12,Potatoes,345.4,37.6
2023-09-11,Rice Premium,1443.0,71.208
2024-11-16,Lettuce,764.6,30.84
2023-10-02,Zucchini,343.1,33.7
2025-04-27,Wheat Organic,1266.4,35.04
2023-05-29,Barley,600.7,69.816
2024-09-05,Oats,743.6,38.36
2024-01-02,Apples Red,203.3,52.64
2023-03-13,Blueberries,246.2,96.25
2025-11-29,Yogurt Strawberry,443.3,80.15
2025-09-25,Yogurt Plain,214.5,141.61
2023-01-23,Oranges,290.7,47.04
2023-08-03,Yogurt Plain,292.1,83.85
2023-03-24,Quinoa,1370.4,31.39
2024-10-22,Wheat Organic,1303.0,44.28
2025-06-19,Potatoes Sweet,382.6,35.12
2025-03-02,Quinoa,962.1,39.92
2024-04-27,Peaches,114.6,54.57
2023-09-14,Cheese Cheddar,455.1,87.57
2025-09-26,Corn White,1940.8,69.24
2023-03-21,Rice Basmati,1228.4,40.752
2023-08-20,Blueberries,299.8,75.53
2025-07-06,Oats,847.9,46.93
2024-10-21,Cabbage,592.7,28.46
2023-08-31,Yogurt Plain,61.9,115.56
2023-10-18,Tomatoes Cherry,152.6,27.96
2025-09-05,Barley,1000.9,49.81
2025-01-25,Milk Almond,270.3,158.4
2024-09-17,Barley,1430.6,45.408
2023-08-19,Tomatoes Fresh,486.7,38.06
2025-06-26,Mangoes,200.1,99.64
2024-09-27,Milk Almond,443.0,83.23
2023-09-17,Barley,1617.7,44.47
2025-03-27,Cheese Mozzarella,118.4,44.676
2023-12-23,Cabbage,512.5,20.94
2023-01-03,Eggs Organic,399.7,80.95
2025-04-27,Butter,438.0,83.52
2024-09-07,Rice Premium,983.8,45.97
2024-08-25,Pineapple,397.5,48.48
2023-10-21,Oranges,135.9,62.87
2025-08-13,Pineapple,281.9,104.868
2024-06-28,Broccoli,680.9,39.66
2025-05-21,Wheat Durum,1123.1,55.05
2024-11-02,Bananas,444.5,115.968
2025-08-26,Carrots,446.4,20.13
2024-03-05,Plums,90.4,107.82
2024-10-13,Raspberries,291.4,52.488
2025-09-09,Cauliflower,360.2,35.09
2025-02-03,Oats,1332.0,48.14
2024-09-05,Yogurt Greek,49.2,69.49
2023-12-10,Rice Premium,1868.8,35.9
2025-12-15,Carrots,357.7,40.74
2025-03-19,Cheese Cheddar,348.0,53.784
2023-10-23,Soybeans,994.3,43.53
2023-08-25,Strawberries,235.3,67.63
2025-01-25,Milk Fresh,296.6,92.93
2023-02-08,Spinach,108.9,33.62
2023-05-15,Cabbage,561.1,16.72
2023-12-26,Corn White,932.9,37.548
2025-07-12,Cream,297.3,32.43
2024-03-06,Quinoa,536.3,40.91
2024-07-12,Spinach,244.7,27.78
2025-08-17,Cream,242.9,91.83
2023-07-10,Blueberries,222.4,44.01
2024-07-23,Onions White,466.7,35.23
2023-12-31,Eggs Organic,455.5,88.19
2024-10-31,Plums,160.5,77.01
2025-09-10,Rice Premium,1290.3,44.47
2023-05-12,Mangoes,123.6,83.736
2024-03-18,Quinoa,1009.8,33.02
2024-09-23,Peppers Bell,286.0,24.04
2023-01-25,Cream,398.3,65.91
2024-10-27,Cheese Cheddar,461.6,140.196
2024-08-02,Cheese Mozzarella,130.6,106.51
2023-01-20,Corn Yellow,823.5,35.49
2023-08-06,Carrots,317.0,24.76
2024-09-08,Barley,1982.2,48.12
2024-06-07,Tomatoes Cherry,234.2,40.596
2024-03-20,Eggs Organic,224.5,156.6
2025-04-24,Cheese Mozzarella,477.8,114.19
2024-11-29,Yogurt Plain,130.7,108.14
2024-06-04,Cheese Mozzarella,443.1,96.11
2024-09-13,Apples Red,79.0,114.564
2023-03-15,Cheese Cheddar,66.8,82.6
2024-10-04,Cheese Feta,497.0,91.35
2023-08-03,Cream,255.7,111.288
2023-10-09,Cream,41.5,126.04
2025-02-03,Pears,267.2,56.74
2024-02-25,Carrots Baby,530.1,33.38
2023-02-21,Rice Premium,1242.8,36.43
2024-04-07,Quinoa,1919.6,52.67
2023-04-11,Oats,733.3,42.53
2024-09-16,Cheese Feta,470.1,60.24
2023-07-27,Cheese Mozzarella,413.9,120.948
2024-10-29,Onions White,331.4,35.952
2023-08-20,Raspberries,363.4,88.43
2023-05-27,Quinoa,615.9,36.2
2023-03-23,Yogurt Strawberry,296.6,86.11
2024-11-18,Broccoli,187.8,24.756
2024-08-17,Cheese Cheddar,297.7,120.36
2023-10-13,Eggs,77.3,39.23
2025-09-15,Raspberries,355.8,63.96
2024-05-19,Tomatoes Cherry,112.8,28.1
2025-11-21,Milk Almond,413.7,132.83
2025-02-18,Plums,326.2,61.29
2023-03-08,Milk Almond,271.7,70.24799999999999
2023-08-30,Spinach,146.5,27.94
2023-09-28,Tomatoes Fresh,503.9,28.5
2024-08-31,Oats,812.3,30.22
2025-10-22,Tomatoes Cherry,594.0,29.21
2024-12-24,Eggs Organic,122.2,55.704
2024-07-29,Carrots,389.4,16.74
2025-05-16,Apples Green,216.3,95.72
2025-01-27,Eggs Organic,308.1,125.064
2025-09-15,Eggplant,379.1,18.32
2025-01-07,Blueberries,513.7,48.8
2024-01-06,Spinach,147.8,19.54
2023-03-01,Plums,389.4,57.5
2025-12-18,Bananas,300.8,85.83
2025-10-04,Oranges,386.7,47.57
2024-12-17,Cheese Cheddar,201.8,175.61999999999998
2023-07-14,Rice Premium,773.5,54.58
2024-02-09,Oranges Navel,76.3,55.212
2023-12-04,Corn Yellow,519.4,45.9
2025-07-17,Oats,1718.8,50.45
2024-05-27,Peaches,95.5,72.192
2025-09-08,Pineapple,66.7,62.2
2023-04-16,Milk Fresh,68.5,143.196
2023-12-07,Cheese Mozzarella,493.7,125.34
2024-05-26,Lettuce,428.4,32.59
2025-10-01,Pears,225.4,72.88
2023-05-01,Corn White,1818.2,33.19
2023-02-09,Quinoa,1130.4,63.648
2023-12-23,Milk Almond,165.4,81.91
2025-08-02,Cucumbers,456.1,21.72
2023-05-24,Tomatoes Cherry,447.2,35.73
2025-02-12,Yogurt Strawberry,383.4,143.34
2024-05-23,Blueberries,75.6,52.51
2024-05-22,Soybeans,2224.9,48.16
2024-07-19,Cheese Cheddar,266.4,131.52
2024-12-29,Yogurt Strawberry,264.7,148.13
2025-02-04,Plums,291.1,96.45
2025-01-20,Corn White,942.0,49.54
2025-03-17,Cheese Feta,462.8,97.51
2025-10-13,Cream,240.4,32.78
2024-10-17,Cheese Feta,226.4,69.66
2024-03-09,Yogurt Greek,55.4,52.2
2023-04-09,Oats,1202.2,55.46
2024-08-17,Tomatoes Fresh,534.0,39.024
2023-07-16,Soybeans,1022.5,34.96
2024-04-28,Cheese Cheddar,495.6,115.56
2024-10-04,Carrots,308.1,47.388
2024-10-16,Milk Fresh,311.6,109.79
2025-08-10,Soybeans,1875.7,58.76
2024-07-17,Milk Almond,497.9,93.23
2023-06-22,Eggs,108.2,129.28
2025-12-19,Peaches,145.2,60.77
2025-06-24,Yogurt Plain,491.9,75.54
2025-11-05,Peppers Bell,230.5,18.156
2023-07-07,Pineapple,361.8,77.14800000000001
2023-08-27,Potatoes,543.8,15.81
2024-07-02,Tomatoes Fresh,496.1,44.028
2023-10-28,Onions White,454.7,25.23
2025-10-19,Corn White,1149.2,31.47
2025-03-17,Zucchini,420.2,38.1
2023-12-02,Tomatoes Cherry,474.3,18.55
2025-10-23,Rice Premium,2260.3,30.52
2025-07-08,Barley,653.8,39.82
2025-07-10,Tomatoes Fresh,488.3,21.96
2024-01-19,Broccoli,527.2,16.21
2025-11-08,Peppers Bell,416.6,27.06
2023-03-26,Raspberries,53.5,58.0
2024-09-18,Cauliflower,322.9,39.07
2025-09-19,Peppers Bell,468.7,27.132
2024-01-19,Carrots,734.5,15.79
2025-12-21,Yogurt Plain,373.7,38.08
2024-07-21,Milk Fresh,446.3,141.97
2024-12-20,Barley,1336.8,41.556
2024-02-24,Carrots Baby,303.8,26.724
2025-03-15,Blueberries,183.2,83.11
2025-10-04,Wheat Durum,1048.3,48.87
2024-11-18,Tomatoes Cherry,142.7,15.07
2023-07-15,Oranges,304.6,79.35
2025-02-17,Yogurt Greek,329.3,31.86
2025-11-09,Bananas,212.2,78.54
2024-11-17,Quinoa,843.0,36.92
2023-07-21,Cream,243.6,57.01
2024-07-28,Apples Red,349.7,89.32
2023-12-22,Wheat Durum,1197.3,56.17
2025-11-10,Barley,1049.6,51.27
2024-08-29,Wheat Durum,1586.2,47.45
2023-05-16,Yogurt Greek,101.9,32.73
2023-02-25,Raspberries,63.1,87.81
2023-01-02,Cauliflower,176.9,28.96
2023-01-24,Wheat Organic,1899.4,71.532
2023-08-04,Yogurt Greek,429.7,48.87
2025-10-25,Carrots Baby,528.2,31.71
2024-12-10,Corn Yellow,916.5,43.41
2024-07-30,Cheese Mozzarella,260.7,94.84
2025-04-30,Cheese Mozzarella,403.7,61.248
2025-03-05,Rice Basmati,1810.4,47.172
2025-07-04,Plums,387.5,57.66
2024-09-10,Apples Red,232.3,91.63
2025-05-16,Oranges Navel,397.1,119.796
2024-06-05,Yogurt Greek,475.7,163.248
2025-09-28,Cheese Mozzarella,369.5,121.53
2025-12-29,Rice Basmati,1489.0,45.18
2025-07-15,Peaches,103.9,87.32
2025-01-05,Cabbage,263.4,45.276
2023-01-19,Cheese Cheddar,44.7,74.46
2023-07-10,Cream,146.2,147.64
2025-03-03,Yogurt Plain,122.1,104.13
2024-11-12,Milk Fresh,31.0,26.18
2025-03-09,Yogurt Plain,202.8,144.06
2023-02-04,Bananas,215.2,78.06
2025-05-16,Soybeans,713.6,38.01
2025-04-25,Tomatoes Fresh,250.4,18.71
2024-03-02,Lettuce,472.6,18.99
2023-09-09,Eggs,483.0,63.32
2023-12-07,Pears,338.1,89.0
2023-11-30,Barley,1273.3,58.67
2023-02-23,Milk Almond,223.4,112.13
2024-10-05,Tomatoes Fresh,543.5,28.44
2023-05-22,Oats,1448.5,46.12799999999999
2023-11-20,Cucumbers,560.8,20.916
2023-09-18,Rice Premium,872.6,39.31
2025-12-22,Broccoli,559.9,37.23
2024-06-22,Grapes Red,85.5,44.38
2024-03-25,Apples Red,274.3,76.3
2025-05-25,Wheat Durum,726.1,70.452
2024-11-05,Zucchini,706.5,20.37
2024-03-08,Pineapple,340.0,82.89
2025-10-27,Apples Red,150.2,42.78
2023-04-19,Milk Fresh,330.5,54.45
2024-08-23,Oats,588.6,38.79
2024-04-12,Onions Red,510.6,28.6
2024-02-03,Oats,1632.5,31.86
2025-03-07,Peaches,52.9,99.252
2024-03-25,Eggs,354.7,60.456
2025-02-11,Pears,201.5,90.92
2023-02-05,Wheat Durum,1307.2,69.78
2024-12-09,Soybeans,1144.4,58.38
2023-10-09,Zucchini,417.2,36.82
2024-02-25,Cheese Feta,181.1,75.89999999999999
2024-03-13,Wheat Durum,919.6,45.31
2025-02-08,Potatoes Sweet,320.2,34.15
2023-07-03,Plums,106.7,96.46
2025-07-03,Blueberries,334.7,88.07
2025-03-23,Onions White,100.3,37.15
2025-11-14,Strawberries,330.8,67.344
2024-09-22,Eggs Organic,121.3,25.31
2024-11-11,Eggs Organic,264.3,139.31
2023-08-19,Oranges,119.7,81.996
2025-02-07,Corn Yellow,507.6,39.792
2024-11-11,Potatoes Sweet,715.0,35.65
2023-02-15,Cheese Feta,20.4,51.97
2025-11-24,Barley,1393.7,30.67
2025-09-12,Grapes Red,270.9,80.32
2024-06-23,Eggplant,756.2,33.79
2024-04-10,Eggs Organic,321.2,61.19
2023-11-09,Quinoa,928.7,60.648
2023-06-01,Wheat Durum,514.9,33.0
2024-01-24,Wheat Durum,1819.3,35.16
2025-12-17,Cheese Mozzarella,108.3,143.268
2025-02-03,Cream,460.3,106.356
2025-11-24,Cheese Feta,53.7,132.39
2023-05-31,Eggs,105.0,32.05
2023-06-19,Cauliflower,427.4,25.25
2023-07-05,Corn White,865.6,56.52
2024-09-06,Plums,186.5,93.76
2023-06-07,Mangoes,400.9,49.78
2025-05-20,Corn Yellow,2309.7,30.33
2024-10-31,Wheat Durum,609.7,34.44
2023-01-19,Grapes Green,506.5,90.44
