id,product_name,category,region,date,quantity_sold,unit_price,total_revenue,supplier,customer_type,season,weather_condition,demand_score
23,Carrots,Vegetables,Central Delhi,2024-07-14,217.3,27.68,6014.86,SmartFarms,Retail,Monsoon,Foggy,8.5
24,Grapes Green,Fruits,North Delhi,2023-06-15,121.5,63.21,7680.02,AgriCorp Ltd,Institution,Summer,Foggy,7.1
25,Yogurt Plain,Dairy,Noida,2025-12-10,208.6,90.38399999999999,15711.75,FarmFresh,Export,Monsoon,Windy,7.9
26,Milk Fresh,Dairy,Ghaziabad,2025-12-24,262.9,57.11,15014.22,NatureHarvest,Institution,Monsoon,Rainy,5.2
27,Plums,Fruits,East Delhi,2025-12-03,358.1,97.61,34954.14,FarmFresh,Retail,Monsoon,Stormy,8.7
28,Cheese Cheddar,Dairy,Central Delhi,2025-08-09,319.4,140.94,37513.53,FreshFruits,Export,Spring,Sunny,9.6
29,Eggs,Dairy,Gurgaon,2024-11-19,46.2,42.324000000000005,1629.47,OrganicValley,Export,Summer,Cloudy,8.9
30,Apples Red,Fruits,East Delhi,2024-01-15,335.1,54.34,18209.33,OrganicValley,Restaurant,Summer,Stormy,9.3
31,Carrots,Vegetables,Greater Noida,2024-04-17,587.7,31.22,18347.99,DairyBest,Restaurant,Autumn,Stormy,7.7
32,Butter,Dairy,East Delhi,2024-10-09,380.1,97.45,37040.75,UrbanFarms,Restaurant,Winter,Sunny,6.5
33,Corn White,Grains,Greater Noida,2023-04-20,1952.5,60.684,98737.93,SmartFarms,Export,Autumn,Rainy,10.0
34,Wheat Organic,Grains,West Delhi,2023-02-04,841.2,42.54,35784.65,UrbanFarms,Institution,Monsoon,Stormy,7.2
35,Spinach,Vegetables,Faridabad,2024-09-24,222.4,40.908,7581.62,FarmFresh,Export,Autumn,Cloudy,9.9
36,Eggplant,Vegetables,Central Delhi,2024-10-16,299.7,22.692,5667.33,FarmFresh,Export,Winter,Foggy,7.3
37,Eggs Organic,Dairy,Noida,2025-02-04,141.8,124.28,17622.9,SmartFarms,Restaurant,Monsoon,Cloudy,7.3
38,Spinach,Vegetables,Greater Noida,2024-02-13,527.7,26.9,14195.13,AgriCorp Ltd,Retail,Monsoon,Cloudy,8.3
39,Pineapple,Fruits,South Delhi,2023-01-25,415.3,77.12,32027.94,FreshFruits,Restaurant,Summer,Cloudy,6.5
40,Yogurt Greek,Dairy,Ghaziabad,2023-05-21,312.6,72.92,22794.79,PremiumAgri,Wholesale,Winter,Windy,7.5
41,Tomatoes Fresh,Vegetables,West Delhi,2023-02-03,281.8,33.27,9375.49,FreshFruits,Restaurant,Monsoon,Foggy,9.9
42,Blueberries,Fruits,Central Delhi,2024-04-02,129.0,93.732,10076.19,FreshFruits,Export,Autumn,Cloudy,9.1
43,Barley,Grains,South Delhi,2025-10-09,2354.1,51.38,120953.66,NatureHarvest,Wholesale,Winter,Stormy,5.9
44,Grapes Red,Fruits,Greater Noida,2023-10-19,171.6,49.55,8502.78,FarmFresh,Restaurant,Winter,Foggy,5.6
45,Wheat Durum,Grains,West Delhi,2025-08-28,1058.8,40.343999999999994,35596.86,AgriCorp Ltd,Export,Spring,Rainy,8.8
46,Blueberries,Fruits,Ghaziabad,2025-06-23,255.0,43.53,11100.15,GreenFields,Retail,Summer,Cloudy,8.8
47,Apples Red,Fruits,Gurgaon,2023-11-05,286.3,79.96,22892.55,SmartFarms,Wholesale,Summer,Sunny,6.0
48,Pineapple,Fruits,Gurgaon,2025-08-14,121.3,84.61,10263.19,NatureHarvest,Wholesale,Spring,Cloudy,9.1
49,Blueberries,Fruits,Greater Noida,2025-10-16,343.9,93.57,32178.72,SmartFarms,Wholesale,Winter,Foggy,6.1
50,Mangoes,Fruits,South Delhi,2025-12-16,187.0,99.65,18634.55,FreshFruits,Retail,Monsoon,Foggy,8.8
51,Corn White,Grains,Noida,2024-07-11,1187.2,67.94399999999999,67219.26,SmartFarms,Export,Monsoon,Rainy,6.6
52,Barley,Grains,East Delhi,2025-09-03,1335.8,51.78,69167.72,NatureHarvest,Restaurant,Autumn,Rainy,8.7
53,Carrots,Vegetables,Ghaziabad,2024-05-08,321.8,47.147999999999996,12643.52,UrbanFarms,Export,Winter,Windy,7.0
54,Yogurt Strawberry,Dairy,Gurgaon,2025-02-20,218.8,138.4,30281.92,PremiumAgri,Institution,Monsoon,Stormy,5.1
55,Eggs,Dairy,East Delhi,2023-01-20,342.3,163.644,46679.45,DairyBest,Export,Summer,Stormy,8.8
56,Grapes Green,Fruits,East Delhi,2024-05-14,52.7,68.24,3596.25,FreshFruits,Retail,Winter,Windy,6.8
57,Grapes Red,Fruits,Greater Noida,2023-03-18,153.0,91.9,14060.7,GreenFields,Wholesale,Spring,Windy,5.5
58,Cheese Feta,Dairy,South Delhi,2024-07-10,485.7,60.42,24454.99,GreenFields,Export,Monsoon,Sunny,7.6
59,Spinach,Vegetables,Central Delhi,2025-05-10,481.6,23.51,11322.42,OrganicValley,Retail,Winter,Sunny,5.5
60,Carrots Baby,Vegetables,Greater Noida,2025-06-15,436.5,32.48,14177.52,SmartFarms,Institution,Summer,Sunny,5.9
61,Corn Yellow,Grains,Ghaziabad,2025-01-03,977.4,35.39,34590.19,FreshFruits,Institution,Summer,Stormy,5.2
62,Tomatoes Cherry,Vegetables,Greater Noida,2025-08-13,560.4,19.188,8960.8,FarmFresh,Export,Spring,Stormy,9.9
63,Onions White,Vegetables,North Delhi,2023-11-15,343.7,26.16,8991.19,OrganicValley,Institution,Summer,Sunny,6.1
64,Broccoli,Vegetables,South Delhi,2025-02-03,238.8,20.09,4797.49,NatureHarvest,Retail,Monsoon,Sunny,9.0
65,Yogurt Strawberry,Dairy,South Delhi,2024-10-24,469.7,69.71,32742.79,FreshFruits,Institution,Winter,Cloudy,9.0
66,Eggs,Dairy,Noida,2023-10-03,96.7,92.27,8922.51,AgriCorp Ltd,Retail,Winter,Cloudy,7.4
67,Yogurt Strawberry,Dairy,Central Delhi,2023-02-27,410.4,128.13,52584.55,PremiumAgri,Institution,Monsoon,Windy,6.5
68,Plums,Fruits,Gurgaon,2024-01-01,449.6,63.63,28608.05,GreenFields,Institution,Summer,Windy,7.3
69,Barley,Grains,Ghaziabad,2023-10-23,2072.6,36.03,74675.78,FarmFresh,Institution,Winter,Stormy,8.4
70,Carrots,Vegetables,East Delhi,2024-05-13,367.7,18.06,6640.66,PremiumAgri,Restaurant,Winter,Sunny,7.7
71,Potatoes,Vegetables,South Delhi,2025-08-29,346.7,35.532,10265.79,SmartFarms,Export,Spring,Foggy,8.1
72,Cheese Feta,Dairy,Central Delhi,2024-01-19,336.4,78.03,26249.29,PremiumAgri,Retail,Summer,Rainy,7.6
73,Yogurt Strawberry,Dairy,Greater Noida,2025-01-30,480.7,112.14,53905.7,SmartFarms,Institution,Summer,Cloudy,9.2
74,Carrots,Vegetables,South Delhi,2024-05-21,330.8,35.33,11687.16,GreenFields,Institution,Winter,Cloudy,8.8
75,Peaches,Fruits,North Delhi,2025-03-29,154.8,69.85,10812.78,DairyBest,Retail,Spring,Stormy,5.5
76,Corn Yellow,Grains,Noida,2025-12-18,1246.9,68.7,71385.03,SmartFarms,Export,Monsoon,Cloudy,8.4
77,Pears,Fruits,West Delhi,2023-05-26,193.5,78.13199999999999,12598.78,GreenFields,Export,Winter,Sunny,5.6
78,Tomatoes Fresh,Vegetables,North Delhi,2025-11-19,205.5,24.54,4202.47,FreshFruits,Export,Summer,Stormy,9.5
79,Mangoes,Fruits,West Delhi,2025-09-24,136.3,119.076,13525.05,FreshFruits,Export,Autumn,Stormy,6.7
80,Yogurt Strawberry,Dairy,Central Delhi,2024-03-02,491.2,109.47,53771.66,DairyBest,Institution,Spring,Stormy,8.7
81,Cheese Cheddar,Dairy,West Delhi,2025-10-08,90.0,86.43,7778.7,FreshFruits,Institution,Winter,Windy,5.5
82,Butter,Dairy,Noida,2025-06-08,368.8,94.512,29046.69,OrganicValley,Export,Summer,Rainy,7.1
83,Corn White,Grains,West Delhi,2024-03-27,866.8,35.15,30468.02,OrganicValley,Restaurant,Spring,Stormy,9.9
84,Spinach,Vegetables,South Delhi,2024-11-03,581.7,15.5,9016.35,DairyBest,Retail,Summer,Foggy,8.3
85,Corn Yellow,Grains,East Delhi,2025-06-19,1489.0,50.69,75477.41,OrganicValley,Retail,Summer,Windy,9.5
86,Cauliflower,Vegetables,Noida,2023-12-12,149.6,15.26,2282.9,AgriCorp Ltd,Restaurant,Monsoon,Windy,5.6
87,Quinoa,Grains,Greater Noida,2025-07-25,1675.8,32.54,54530.53,NatureHarvest,Retail,Monsoon,Windy,7.2
88,Lettuce,Vegetables,Central Delhi,2024-06-20,497.0,25.07,12459.79,FarmFresh,Restaurant,Summer,Cloudy,8.5
89,Onions White,Vegetables,Gurgaon,2023-06-28,155.2,35.028,4530.29,PremiumAgri,Export,Summer,Stormy,9.3
90,Rice Basmati,Grains,Ghaziabad,2023-04-14,1073.1,32.57,34950.87,OrganicValley,Retail,Autumn,Stormy,6.9
91,Eggplant,Vegetables,Faridabad,2025-09-12,450.2,34.6,15576.92,DairyBest,Institution,Autumn,Cloudy,8.5
92,Corn Yellow,Grains,Ghaziabad,2024-11-22,1495.8,35.09,52487.62,AgriCorp Ltd,Retail,Summer,Foggy,8.6
93,Cheese Mozzarella,Dairy,Faridabad,2024-07-27,219.9,35.69,7848.23,DairyBest,Retail,Monsoon,Cloudy,5.4
94,Peaches,Fruits,South Delhi,2024-07-31,275.9,53.85,14857.21,PremiumAgri,Restaurant,Monsoon,Windy,5.5
95,Strawberries,Fruits,Gurgaon,2025-05-02,114.6,55.47,6356.86,OrganicValley,Retail,Winter,Foggy,7.9
96,Zucchini,Vegetables,West Delhi,2023-12-29,487.4,19.69,9596.91,UrbanFarms,Restaurant,Monsoon,Windy,8.0
97,Cheese Feta,Dairy,Greater Noida,2025-08-11,468.0,113.29,53019.72,FarmFresh,Wholesale,Spring,Foggy,8.3
98,Yogurt Strawberry,Dairy,Central Delhi,2024-08-13,388.8,98.09,38137.39,FreshFruits,Wholesale,Spring,Sunny,7.2
99,Rice Basmati,Grains,South Delhi,2023-10-19,2129.0,58.824,104363.58,FarmFresh,Export,Winter,Stormy,8.8
100,Tomatoes Cherry,Vegetables,North Delhi,2024-07-31,569.1,18.6,10585.26,OrganicValley,Restaurant,Monsoon,Sunny,5.2
101,Blueberries,Fruits,South Delhi,2025-07-16,201.8,102.636,17259.95,AgriCorp Ltd,Export,Monsoon,Rainy,7.5
102,Yogurt Strawberry,Dairy,Faridabad,2024-09-20,396.5,129.43,51319.0,UrbanFarms,Institution,Autumn,Sunny,6.6
103,Apples Green,Fruits,East Delhi,2025-10-09,340.2,105.876,30015.85,OrganicValley,Export,Winter,Windy,6.3
104,Oranges Navel,Fruits,Central Delhi,2025-06-01,248.2,72.96,15090.56,FarmFresh,Export,Summer,Sunny,7.5
105,Spinach,Vegetables,Greater Noida,2023-04-15,505.0,33.6,16968.0,OrganicValley,Wholesale,Autumn,Windy,8.4
106,Broccoli,Vegetables,West Delhi,2024-10-19,453.3,23.6,10697.88,GreenFields,Retail,Winter,Sunny,7.1
107,Milk Fresh,Dairy,Greater Noida,2023-08-15,429.2,80.74,34653.61,SmartFarms,Wholesale,Spring,Rainy,9.2
108,Rice Premium,Grains,Noida,2024-09-30,900.6,42.1,37915.26,AgriCorp Ltd,Retail,Autumn,Rainy,5.9
109,Eggs,Dairy,West Delhi,2024-02-21,213.4,79.35,16933.29,FreshFruits,Retail,Monsoon,Rainy,7.4
110,Wheat Organic,Grains,North Delhi,2025-07-01,1192.9,48.16,57450.06,FreshFruits,Restaurant,Monsoon,Foggy,7.2
111,Wheat Durum,Grains,East Delhi,2024-12-08,1112.3,47.69,53045.59,GreenFields,Wholesale,Monsoon,Foggy,9.7
112,Potatoes,Vegetables,Faridabad,2025-04-12,151.8,18.56,2817.41,GreenFields,Wholesale,Autumn,Rainy,8.0
113,Cucumbers,Vegetables,East Delhi,2024-10-02,379.5,25.93,9840.43,GreenFields,Restaurant,Winter,Cloudy,8.7
114,Cheese Feta,Dairy,South Delhi,2024-08-27,92.7,28.51,2642.88,OrganicValley,Wholesale,Spring,Stormy,8.6
115,Tomatoes Fresh,Vegetables,West Delhi,2023-07-19,278.1,37.12,10323.07,GreenFields,Wholesale,Monsoon,Stormy,6.2
116,Soybeans,Grains,North Delhi,2023-10-09,1526.6,51.6,65643.8,UrbanFarms,Export,Winter,Cloudy,7.4
117,Grapes Red,Fruits,East Delhi,2025-04-07,214.7,97.04,20834.49,PremiumAgri,Restaurant,Autumn,Foggy,8.5
118,Apples Red,Fruits,Greater Noida,2023-03-11,60.8,66.54,4045.63,OrganicValley,Restaurant,Spring,Cloudy,5.5
119,Apples Green,Fruits,East Delhi,2024-05-18,223.8,93.62,20952.16,AgriCorp Ltd,Retail,Winter,Cloudy,9.4
120,Eggplant,Vegetables,Central Delhi,2025-07-21,467.2,36.96,17267.71,OrganicValley,Retail,Monsoon,Windy,7.7
121,Yogurt Strawberry,Dairy,North Delhi,2023-05-30,184.1,42.08,7746.93,PremiumAgri,Institution,Winter,Stormy,5.6
122,Milk Almond,Dairy,South Delhi,2024-05-18,362.9,80.89,29354.98,NatureHarvest,Retail,Winter,Stormy,8.8
123,Eggs,Dairy,South Delhi,2024-10-11,340.8,33.228,9436.75,FreshFruits,Export,Winter,Stormy,8.7
124,Corn Yellow,Grains,West Delhi,2023-07-12,934.7,57.86,54081.74,GreenFields,Wholesale,Monsoon,Windy,6.0
125,Lettuce,Vegetables,Noida,2024-12-03,284.1,21.75,6179.18,NatureHarvest,Institution,Monsoon,Stormy,6.5
126,Onions Red,Vegetables,Central Delhi,2023-10-02,476.9,21.56,10281.96,UrbanFarms,Institution,Winter,Stormy,8.6
127,Wheat Durum,Grains,Gurgaon,2025-03-15,756.4,48.71,36844.24,UrbanFarms,Restaurant,Spring,Rainy,7.9
128,Oats,Grains,Faridabad,2024-09-12,579.4,54.48,31565.71,GreenFields,Retail,Autumn,Foggy,5.4
129,Yogurt Greek,Dairy,East Delhi,2023-08-09,354.6,147.12,52168.75,DairyBest,Institution,Spring,Windy,6.9
130,Cheese Cheddar,Dairy,South Delhi,2023-01-02,350.3,28.13,9853.94,AgriCorp Ltd,Institution,Summer,Windy,8.5
131,Oranges Navel,Fruits,Ghaziabad,2025-11-11,273.4,45.43,12420.56,FreshFruits,Wholesale,Summer,Sunny,5.4
132,Rice Premium,Grains,Greater Noida,2024-06-29,1481.2,52.91,78370.29,GreenFields,Restaurant,Summer,Foggy,6.9
133,Yogurt Strawberry,Dairy,Gurgaon,2025-08-13,22.5,156.87599999999998,2941.42,FarmFresh,Export,Spring,Rainy,7.0
134,Bananas,Fruits,Faridabad,2025-10-01,337.5,70.1,23658.75,SmartFarms,Wholesale,Winter,Rainy,8.3
135,Pears,Fruits,North Delhi,2023-02-02,69.3,54.03,3744.28,GreenFields,Restaurant,Monsoon,Sunny,9.4
136,Corn Yellow,Grains,Noida,2025-08-16,1376.3,50.24,69145.31,PremiumAgri,Retail,Spring,Windy,9.3
137,Quinoa,Grains,Central Delhi,2024-05-13,815.1,56.43,45996.09,NatureHarvest,Retail,Winter,Rainy,8.3
138,Strawberries,Fruits,Gurgaon,2025-05-17,128.9,91.212,9797.69,GreenFields,Export,Winter,Sunny,8.1
139,Eggplant,Vegetables,Noida,2025-06-28,149.5,31.176,3884.01,UrbanFarms,Export,Summer,Cloudy,6.3
140,Apples Green,Fruits,Ghaziabad,2025-07-12,205.7,73.59,15137.46,PremiumAgri,Institution,Monsoon,Foggy,9.3
141,Oats,Grains,Noida,2025-09-23,679.9,30.19,20526.18,UrbanFarms,Restaurant,Autumn,Cloudy,5.5
142,Lettuce,Vegetables,Faridabad,2024-03-18,585.8,38.58,22600.16,UrbanFarms,Retail,Spring,Rainy,6.8
143,Raspberries,Fruits,West Delhi,2023-01-26,176.0,83.136,12193.28,FreshFruits,Export,Summer,Cloudy,8.3
144,Eggplant,Vegetables,Gurgaon,2024-05-23,128.0,22.01,2817.28,PremiumAgri,Institution,Winter,Rainy,6.5
145,Corn Yellow,Grains,Greater Noida,2024-08-14,1505.2,39.63,59651.08,OrganicValley,Institution,Spring,Stormy,7.8
146,Cheese Cheddar,Dairy,Faridabad,2023-05-24,192.6,87.83,16916.06,PremiumAgri,Institution,Winter,Stormy,6.5
147,Milk Almond,Dairy,North Delhi,2023-08-09,461.8,45.85,21173.53,FreshFruits,Retail,Spring,Stormy,6.9
148,Carrots,Vegetables,South Delhi,2025-07-05,357.5,17.62,6299.15,GreenFields,Retail,Monsoon,Foggy,9.4
149,Butter,Dairy,Central Delhi,2024-05-23,146.6,111.84,16395.74,OrganicValley,Restaurant,Winter,Foggy,6.8
150,Corn White,Grains,Gurgaon,2023-12-02,1907.9,57.03,108807.54,DairyBest,Restaurant,Monsoon,Windy,7.7
151,Cabbage,Vegetables,Central Delhi,2023-06-13,463.9,31.21,14478.32,DairyBest,Restaurant,Summer,Sunny,8.9
152,Pineapple,Fruits,South Delhi,2025-05-22,345.8,46.66,16135.03,AgriCorp Ltd,Restaurant,Winter,Cloudy,9.3
153,Peppers Bell,Vegetables,Central Delhi,2024-02-01,470.6,23.72,11162.63,UrbanFarms,Restaurant,Monsoon,Sunny,7.7
154,Corn White,Grains,East Delhi,2024-07-31,1886.8,39.16,73887.09,FarmFresh,Restaurant,Monsoon,Stormy,6.1
155,Oranges,Fruits,Noida,2025-02-18,367.4,94.944,29068.69,SmartFarms,Export,Monsoon,Stormy,6.7
156,Carrots Baby,Vegetables,East Delhi,2025-09-12,558.8,34.34,19189.19,AgriCorp Ltd,Retail,Autumn,Sunny,9.2
157,Corn Yellow,Grains,Faridabad,2024-04-01,1379.1,41.21,56832.71,FarmFresh,Restaurant,Autumn,Cloudy,7.4
158,Yogurt Strawberry,Dairy,East Delhi,2024-08-01,93.3,53.268,4141.59,DairyBest,Export,Spring,Cloudy,5.3
159,Cheese Feta,Dairy,Greater Noida,2024-05-05,345.3,42.69,14740.86,OrganicValley,Restaurant,Winter,Sunny,9.0
160,Spinach,Vegetables,East Delhi,2025-08-01,402.7,23.48,9455.4,GreenFields,Retail,Spring,Foggy,9.9
161,Quinoa,Grains,East Delhi,2024-01-04,994.1,57.684,47786.39,OrganicValley,Export,Summer,Foggy,7.8
162,Pears,Fruits,Greater Noida,2023-12-28,240.4,77.8,18703.12,NatureHarvest,Institution,Monsoon,Stormy,5.7
163,Oranges Navel,Fruits,West Delhi,2025-03-04,113.5,101.36399999999999,9587.34,FarmFresh,Export,Spring,Rainy,9.9
164,Rice Premium,Grains,East Delhi,2025-05-09,2061.5,31.6,65143.4,PremiumAgri,Institution,Winter,Cloudy,7.8
165,Milk Almond,Dairy,Gurgaon,2024-04-13,281.3,126.37,35547.88,FreshFruits,Retail,Autumn,Cloudy,5.1
166,Yogurt Strawberry,Dairy,East Delhi,2025-01-25,61.6,37.78,2327.25,SmartFarms,Retail,Summer,Rainy,8.9
167,Barley,Grains,Greater Noida,2025-01-14,995.8,54.89,54659.46,GreenFields,Wholesale,Summer,Rainy,5.5
168,Cream,Dairy,South Delhi,2023-01-17,291.6,161.544,39255.19,FarmFresh,Export,Summer,Windy,9.1
169,Corn White,Grains,Greater Noida,2023-03-25,1117.1,41.52,46381.99,UrbanFarms,Restaurant,Spring,Foggy,9.9
170,Cream,Dairy,Faridabad,2023-05-03,179.8,28.41,5108.12,GreenFields,Retail,Winter,Foggy,10.0
171,Wheat Durum,Grains,Central Delhi,2024-06-24,1020.0,30.02,30620.4,OrganicValley,Restaurant,Summer,Cloudy,7.6
172,Lettuce,Vegetables,East Delhi,2023-01-24,336.4,26.195999999999998,7343.61,OrganicValley,Export,Summer,Rainy,8.8
173,Milk Fresh,Dairy,Ghaziabad,2023-09-09,208.9,138.276,24071.55,SmartFarms,Export,Autumn,Foggy,9.8
174,Mangoes,Fruits,Gurgaon,2024-06-14,343.6,99.07,34040.45,OrganicValley,Institution,Summer,Sunny,8.9
175,Bananas,Fruits,Ghaziabad,2024-09-23,113.4,74.01599999999999,6994.51,GreenFields,Export,Autumn,Rainy,5.1
176,Zucchini,Vegetables,West Delhi,2025-01-03,294.7,17.66,5204.4,GreenFields,Institution,Summer,Rainy,5.6
177,Carrots,Vegetables,West Delhi,2024-01-05,259.2,36.744,7936.7,GreenFields,Export,Summer,Rainy,9.7
178,Corn Yellow,Grains,North Delhi,2025-04-04,1899.5,48.6,92315.7,DairyBest,Wholesale,Autumn,Foggy,7.1
179,Milk Fresh,Dairy,Ghaziabad,2024-10-14,158.1,46.39,7334.26,FreshFruits,Institution,Winter,Sunny,5.9
180,Soybeans,Grains,East Delhi,2024-11-29,1113.6,48.81,54354.82,DairyBest,Wholesale,Summer,Rainy,5.2
181,Grapes Red,Fruits,Noida,2023-05-11,117.0,41.08,4806.36,OrganicValley,Retail,Winter,Rainy,7.5
182,Yogurt Strawberry,Dairy,Gurgaon,2024-06-29,469.1,46.440000000000005,18154.17,AgriCorp Ltd,Export,Summer,Cloudy,7.7
183,Strawberries,Fruits,North Delhi,2025-04-19,283.3,60.38,17105.65,FarmFresh,Wholesale,Autumn,Foggy,7.6
184,Cheese Cheddar,Dairy,Noida,2025-11-29,128.1,29.44,3771.26,OrganicValley,Institution,Summer,Foggy,5.0
185,Potatoes,Vegetables,East Delhi,2023-07-27,192.5,37.92,7299.6,NatureHarvest,Restaurant,Monsoon,Stormy,8.1
186,Oranges Navel,Fruits,South Delhi,2025-09-22,357.6,114.432,34100.74,DairyBest,Export,Autumn,Foggy,5.6
187,Corn Yellow,Grains,Noida,2023-10-03,1078.3,44.45,47930.43,FarmFresh,Retail,Winter,Sunny,9.3
188,Soybeans,Grains,South Delhi,2023-03-12,1836.8,42.047999999999995,64361.47,AgriCorp Ltd,Export,Spring,Sunny,5.2
189,Lettuce,Vegetables,Faridabad,2023-05-14,536.1,35.89,19240.63,FreshFruits,Retail,Winter,Cloudy,8.9
190,Milk Fresh,Dairy,Faridabad,2024-02-22,486.0,49.2,23911.2,OrganicValley,Institution,Monsoon,Windy,6.0
191,Potatoes,Vegetables,Gurgaon,2023-04-17,271.7,23.91,6496.35,DairyBest,Restaurant,Autumn,Rainy,6.7
192,Onions White,Vegetables,Ghaziabad,2024-03-31,366.7,21.576,6593.27,UrbanFarms,Export,Spring,Cloudy,7.0
193,Broccoli,Vegetables,Noida,2025-03-17,291.3,35.7,10399.41,UrbanFarms,Wholesale,Spring,Sunny,8.5
194,Cheese Mozzarella,Dairy,Central Delhi,2025-08-02,22.2,105.11,2333.44,FarmFresh,Institution,Spring,Sunny,6.9
195,Carrots,Vegetables,Gurgaon,2024-09-10,504.2,31.59,15927.68,SmartFarms,Restaurant,Autumn,Stormy,7.8
196,Milk Fresh,Dairy,Gurgaon,2024-08-31,378.2,84.63,32007.07,FarmFresh,Wholesale,Spring,Stormy,5.1
197,Grapes Green,Fruits,Noida,2024-04-04,107.6,70.22,7555.67,NatureHarvest,Restaurant,Autumn,Rainy,5.4
198,Grapes Green,Fruits,Greater Noida,2023-05-28,183.9,55.46,10199.09,AgriCorp Ltd,Restaurant,Winter,Rainy,8.2
199,Cheese Cheddar,Dairy,East Delhi,2025-06-21,240.7,145.69,35067.58,SmartFarms,Institution,Summer,Cloudy,8.6
200,Potatoes,Vegetables,Greater Noida,2025-06-28,219.4,15.86,3479.68,FarmFresh,Restaurant,Summer,Windy,8.3
201,Barley,Grains,Ghaziabad,2025-08-25,1034.0,47.67,49290.78,OrganicValley,Restaurant,Spring,Windy,8.2
202,Corn Yellow,Grains,Gurgaon,2023-06-03,529.5,65.076,28714.78,OrganicValley,Export,Summer,Stormy,9.9
203,Broccoli,Vegetables,South Delhi,2024-05-16,121.4,18.84,2287.18,FarmFresh,Restaurant,Winter,Sunny,7.0
204,Cream,Dairy,North Delhi,2023-02-19,96.2,140.11,13478.58,AgriCorp Ltd,Retail,Monsoon,Cloudy,7.2
205,Cabbage,Vegetables,West Delhi,2024-05-12,479.2,25.21,12080.63,AgriCorp Ltd,Restaurant,Winter,Sunny,5.7
206,Yogurt Greek,Dairy,Faridabad,2023-04-05,207.4,113.49,23537.83,OrganicValley,Institution,Autumn,Rainy,7.8
207,Raspberries,Fruits,Gurgaon,2025-05-31,251.0,65.84,16525.84,GreenFields,Restaurant,Winter,Stormy,7.0
208,Soybeans,Grains,Faridabad,2023-08-21,768.7,32.59,25051.93,FarmFresh,Restaurant,Spring,Cloudy,7.8
209,Wheat Organic,Grains,East Delhi,2023-02-09,1488.7,31.93,47534.19,AgriCorp Ltd,Restaurant,Monsoon,Windy,6.2
210,Zucchini,Vegetables,South Delhi,2023-05-28,118.6,16.32,1935.55,SmartFarms,Wholesale,Winter,Sunny,5.5
